Sector,Basis,Component,Measure,Units,Year,Qtr,Value
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1947,1,0.395
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1947,1,5.798
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1947,2,N.A.
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1947,2,9.285
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1947,2,3.071
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1947,2,6.214
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1947,2,N.A.
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1947,2,2.201
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1947,2,3.034
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1947,2,17.418
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1947,2,88.492
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1947,2,74.128
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1947,2,1.331
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1947,2,0.972
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1947,2,0.359
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1947,2,0.665
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1947,2,12.368
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1947,2,N.A.
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1947,2,4.814
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1947,2,1.453
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1947,2,3.361
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1947,2,N.A.
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1947,2,1.903
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1947,2,1.542
"Total economy","All workers",Farm,Employment,"Millions of jobs",1947,2,9.148
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1947,2,43.574
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1947,2,36.587
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1947,2,0.73
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1947,2,0.541
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1947,2,0.189
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1947,2,0.357
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1947,2,5.9
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1947,3,N.A.
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1947,3,9.251
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1947,3,2.903
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1947,3,6.348
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1947,3,N.A.
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1947,3,2.386
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1947,3,3.066
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1947,3,17.995
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1947,3,88.735
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1947,3,74.51
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1947,3,1.335
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1947,3,0.96
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1947,3,0.375
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1947,3,0.581
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1947,3,12.308
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1947,3,N.A.
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1947,3,4.798
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1947,3,1.369
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1947,3,3.428
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1947,3,N.A.
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1947,3,1.958
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1947,3,1.561
"Total economy","All workers",Farm,Employment,"Millions of jobs",1947,3,9.423
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1947,3,43.896
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1947,3,36.906
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1947,3,0.73
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1947,3,0.533
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1947,3,0.197
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1947,3,0.313
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1947,3,5.948
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1947,4,N.A.
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1947,4,9.35
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1947,4,2.938
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1947,4,6.411
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1947,4,N.A.
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1947,4,2.314
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1947,4,3.077
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1947,4,17.948
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1947,4,89.595
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1947,4,75.525
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1947,4,1.374
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1947,4,0.981
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1947,4,0.393
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1947,4,0.558
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1947,4,12.137
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1947,4,N.A.
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1947,4,4.836
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1947,4,1.382
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1947,4,3.454
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1947,4,N.A.
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1947,4,1.845
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1947,4,1.573
"Total economy","All workers",Farm,Employment,"Millions of jobs",1947,4,9.558
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1947,4,44.241
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1947,4,37.359
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1947,4,0.749
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1947,4,0.543
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1947,4,0.206
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1947,4,0.3
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1947,4,5.833
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1948,1,124.151
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1948,1,9.268
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1948,1,2.807
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1948,1,6.461
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1948,1,2.632
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1948,1,2.149
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1948,1,3.091
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1948,1,16.847
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1948,1,90.164
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1948,1,75.69
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1948,1,1.418
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1948,1,0.997
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1948,1,0.42
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1948,1,0.575
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1948,1,12.481
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1948,1,63.292
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1948,1,4.842
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1948,1,1.328
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1948,1,3.513
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1948,1,1.384
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1948,1,1.83
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1948,1,1.575
"Total economy","All workers",Farm,Employment,"Millions of jobs",1948,1,9.199
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1948,1,44.462
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1948,1,37.461
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1948,1,0.779
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1948,1,0.557
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1948,1,0.222
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1948,1,0.309
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1948,1,5.912
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1948,2,124.43
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1948,2,9.467
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1948,2,2.877
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1948,2,6.59
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1948,2,2.681
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1948,2,2.111
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1948,2,3.112
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1948,2,16.934
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1948,2,90.126
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1948,2,75.507
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1948,2,1.461
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1948,2,1.02
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1948,2,0.441
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1948,2,0.546
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1948,2,12.611
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1948,2,63.143
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1948,2,4.892
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1948,2,1.347
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1948,2,3.546
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1948,2,1.395
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1948,2,1.86
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1948,2,1.588
"Total economy","All workers",Farm,Employment,"Millions of jobs",1948,2,8.818
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1948,2,44.59
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1948,2,37.486
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1948,2,0.794
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1948,2,0.564
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1948,2,0.23
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1948,2,0.294
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1948,2,6.015
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1948,3,125.811
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1948,3,9.654
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1948,3,3.006
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1948,3,6.648
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1948,3,2.844
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1948,3,2.119
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1948,3,3.159
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1948,3,17.275
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1948,3,90.761
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1948,3,76.097
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1948,3,1.488
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1948,3,1.037
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1948,3,0.451
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1948,3,0.624
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1948,3,12.552
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1948,3,64.119
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1948,3,4.982
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1948,3,1.408
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1948,3,3.574
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1948,3,1.478
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1948,3,1.928
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1948,3,1.617
"Total economy","All workers",Farm,Employment,"Millions of jobs",1948,3,9.076
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1948,3,45.037
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1948,3,37.828
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1948,3,0.808
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1948,3,0.573
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1948,3,0.235
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1948,3,0.335
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1948,3,6.066
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1948,4,125.348
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1948,4,9.764
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1948,4,3.078
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1948,4,6.686
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1948,4,3.016
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1948,4,2.017
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1948,4,3.205
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1948,4,17.419
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1948,4,89.927
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1948,4,75.418
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1948,4,1.502
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1948,4,1.058
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1948,4,0.445
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1948,4,0.63
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1948,4,12.377
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1948,4,64.064
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1948,4,5.044
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1948,4,1.444
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1948,4,3.6
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1948,4,1.569
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1948,4,1.831
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1948,4,1.643
"Total economy","All workers",Farm,Employment,"Millions of jobs",1948,4,9.195
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1948,4,44.781
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1948,4,37.676
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1948,4,0.818
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1948,4,0.586
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1948,4,0.233
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1948,4,0.339
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1948,4,5.948
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1949,1,123.903
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1949,1,9.737
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1949,1,2.99
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1949,1,6.747
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1949,1,3.131
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1949,1,1.935
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1949,1,3.26
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1949,1,17.426
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1949,1,88.414
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1949,1,73.67
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1949,1,1.533
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1949,1,1.087
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1949,1,0.446
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1949,1,0.61
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1949,1,12.601
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1949,1,63.713
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1949,1,5.06
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1949,1,1.407
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1949,1,3.653
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1949,1,1.639
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1949,1,1.894
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1949,1,1.668
"Total economy","All workers",Farm,Employment,"Millions of jobs",1949,1,9.389
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1949,1,44.063
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1949,1,36.925
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1949,1,0.841
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1949,1,0.605
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1949,1,0.235
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1949,1,0.328
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1949,1,5.97
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1949,2,123.059
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1949,2,9.828
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1949,2,3.009
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1949,2,6.819
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1949,2,3.103
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1949,2,1.922
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1949,2,3.318
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1949,2,17.929
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1949,2,86.958
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1949,2,72.29
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1949,2,1.536
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1949,2,1.083
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1949,2,0.453
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1949,2,0.62
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1949,2,12.511
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1949,2,63.189
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1949,2,5.113
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1949,2,1.418
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1949,2,3.695
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1949,2,1.626
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1949,2,1.883
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1949,2,1.696
"Total economy","All workers",Farm,Employment,"Millions of jobs",1949,2,9.367
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1949,2,43.503
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1949,2,36.36
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1949,2,0.843
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1949,2,0.603
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1949,2,0.239
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1949,2,0.334
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1949,2,5.968
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1949,3,121.301
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1949,3,9.83
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1949,3,2.971
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1949,3,6.859
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1949,3,3.067
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1949,3,1.909
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1949,3,3.329
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1949,3,17.144
